
************************************************
Report:               average power
Design:               evlpMultiplier
Library File(s):      /home/cad/TSMC/13/synopsys/slow.db
Simulation period[1]: 0 ns - 127701 ns
Sampling interval:    1 ns
Reporting threshold:  0 Watt
Date:                 Mon Jul 23 16:14:28 2007
************************************************

operating_condition_max_name: slow Library: slow

Wire Loading Model Mode: segmented

Cell               Design       Wire_model  Library       Selection_type
--------------------------------------------------------------------------------
                   evlpMultiplier TSMC13_Conservative slow library default
hot_B_bit_ff       evMS_FlipFlop TSMC13_Conservative slow library default
adder/adder_31/mx2 evMUX2_1_10  TSMC13_Conservative slow  library default
adder/adder_31/mx3 evMUX2_1_9   TSMC13_Conservative slow  library default
adder/adder_31/mx4 evMUX2_1_8   TSMC13_Conservative slow  library default
nxt_hot_bit_mux    evNonEncodedMux_wdt32 TSMC13_Conservative slow library default
nxt_hot_bit_mux/nms_0 evNMOS_31 TSMC13_Conservative slow  library default
nxt_hot_bit_mux/nms_1 evNMOS_30 TSMC13_Conservative slow  library default
nxt_hot_bit_mux/nms_2 evNMOS_29 TSMC13_Conservative slow  library default
nxt_hot_bit_mux/nms_3 evNMOS_28 TSMC13_Conservative slow  library default
nxt_hot_bit_mux/nms_4 evNMOS_27 TSMC13_Conservative slow  library default
nxt_hot_bit_mux/nms_5 evNMOS_26 TSMC13_Conservative slow  library default
nxt_hot_bit_mux/nms_6 evNMOS_25 TSMC13_Conservative slow  library default
nxt_hot_bit_mux/nms_7 evNMOS_24 TSMC13_Conservative slow  library default
nxt_hot_bit_mux/nms_8 evNMOS_23 TSMC13_Conservative slow  library default
nxt_hot_bit_mux/nms_9 evNMOS_22 TSMC13_Conservative slow  library default
nxt_hot_bit_mux/nms_10 evNMOS_21 TSMC13_Conservative slow library default
nxt_hot_bit_mux/nms_11 evNMOS_20 TSMC13_Conservative slow library default
nxt_hot_bit_mux/nms_12 evNMOS_19 TSMC13_Conservative slow library default
nxt_hot_bit_mux/nms_13 evNMOS_18 TSMC13_Conservative slow library default
nxt_hot_bit_mux/nms_14 evNMOS_17 TSMC13_Conservative slow library default
nxt_hot_bit_mux/nms_15 evNMOS_16 TSMC13_Conservative slow library default
nxt_hot_bit_mux/nms_16 evNMOS_15 TSMC13_Conservative slow library default
nxt_hot_bit_mux/nms_17 evNMOS_14 TSMC13_Conservative slow library default
nxt_hot_bit_mux/nms_18 evNMOS_13 TSMC13_Conservative slow library default
nxt_hot_bit_mux/nms_19 evNMOS_12 TSMC13_Conservative slow library default
nxt_hot_bit_mux/nms_20 evNMOS_11 TSMC13_Conservative slow library default
nxt_hot_bit_mux/nms_21 evNMOS_10 TSMC13_Conservative slow library default
nxt_hot_bit_mux/nms_22 evNMOS_9 TSMC13_Conservative slow  library default
nxt_hot_bit_mux/nms_23 evNMOS_8 TSMC13_Conservative slow  library default
nxt_hot_bit_mux/nms_24 evNMOS_7 TSMC13_Conservative slow  library default
nxt_hot_bit_mux/nms_25 evNMOS_6 TSMC13_Conservative slow  library default
nxt_hot_bit_mux/nms_26 evNMOS_5 TSMC13_Conservative slow  library default
nxt_hot_bit_mux/nms_27 evNMOS_4 TSMC13_Conservative slow  library default
nxt_hot_bit_mux/nms_28 evNMOS_3 TSMC13_Conservative slow  library default
nxt_hot_bit_mux/nms_29 evNMOS_2 TSMC13_Conservative slow  library default
nxt_hot_bit_mux/nms_30 evNMOS_1 TSMC13_Conservative slow  library default
nxt_hot_bit_mux/nms_31 evNMOS_0 TSMC13_Conservative slow  library default
bypass_reg         evlpRegister_wdt32_1 TSMC13_Conservative slow library default
bypass_reg/ff_0    evMS_Rstbl_FlipFlop_94 TSMC13_Conservative slow library default
bypass_reg/ff_1    evMS_Rstbl_FlipFlop_93 TSMC13_Conservative slow library default
bypass_reg/ff_2    evMS_Rstbl_FlipFlop_92 TSMC13_Conservative slow library default
bypass_reg/ff_3    evMS_Rstbl_FlipFlop_91 TSMC13_Conservative slow library default
bypass_reg/ff_4    evMS_Rstbl_FlipFlop_90 TSMC13_Conservative slow library default
bypass_reg/ff_5    evMS_Rstbl_FlipFlop_89 TSMC13_Conservative slow library default
bypass_reg/ff_6    evMS_Rstbl_FlipFlop_88 TSMC13_Conservative slow library default
bypass_reg/ff_7    evMS_Rstbl_FlipFlop_87 TSMC13_Conservative slow library default
bypass_reg/ff_8    evMS_Rstbl_FlipFlop_86 TSMC13_Conservative slow library default
bypass_reg/ff_9    evMS_Rstbl_FlipFlop_85 TSMC13_Conservative slow library default
bypass_reg/ff_10   evMS_Rstbl_FlipFlop_84 TSMC13_Conservative slow library default
bypass_reg/ff_11   evMS_Rstbl_FlipFlop_83 TSMC13_Conservative slow library default
bypass_reg/ff_12   evMS_Rstbl_FlipFlop_82 TSMC13_Conservative slow library default
