
************************************************
Report:               average power
Design:               evlpMultiplier16
Library File(s):      /home/cad/TSMC/18/synopsys/typical.db
Simulation period[1]: 0 ns - 296801 ns
Sampling interval:    1 ns
Reporting threshold:  0 Watt
Date:                 Thu Jul 26 14:18:00 2007
************************************************

operating_condition_max_name: typical Library: typical

Wire Loading Model Mode: segmented

Cell               Design       Wire_model  Library       Selection_type
--------------------------------------------------------------------------------
                   evlpMultiplier16 UMC18_Conservative typical library default
 4.450e-05  4.450e-05  4.358e-10  4.450e-05  0.000e+00  5.500e-08  0.000e+00
            (100.00%)  (  0.00%)  (100.00%)  (  0.00%)  (  0.12%)  (  0.00%)
            1.633e-02     404-405    

---*------ 3  evlpMultiplier16/mux/mux_11 (evMUX2_1_73) 3924
 4.414e-05  4.414e-05  4.358e-10  4.414e-05  0.000e+00  2.750e-08  0.000e+00
            (100.00%)  (  0.00%)  (100.00%)  (  0.00%)  (  0.06%)  (  0.00%)
            1.633e-02    3105-3106   

---*------ 3  evlpMultiplier16/mux/mux_2 (evMUX2_1_82) 3747
 4.200e-05  4.200e-05  4.358e-10  4.200e-05  0.000e+00  8.251e-08  0.000e+00
            (100.00%)  (  0.00%)  (100.00%)  (  0.00%)  (  0.20%)  (  0.00%)
            1.633e-02     506-507    

---*------ 3  evlpMultiplier16/mux/mux_12 (evMUX2_1_72) 3713
 4.090e-05  4.090e-05  4.410e-10  4.090e-05  0.000e+00  2.750e-08  0.000e+00
            (100.00%)  (  0.00%)  (100.00%)  (  0.00%)  (  0.07%)  (  0.00%)
            1.633e-02    2985-2986   

---*------ 3  evlpMultiplier16/mux/mux_13 (evMUX2_1_71) 3462
 3.782e-05  3.782e-05  4.410e-10  3.782e-05  0.000e+00  2.750e-08  0.000e+00
            (100.00%)  (  0.00%)  (100.00%)  (  0.00%)  (  0.07%)  (  0.00%)
            1.633e-02    2985-2986   

---*------ 3  evlpMultiplier16/mux/mux_1 (evMUX2_1_83) 3376
 3.782e-05  3.782e-05  4.410e-10  3.782e-05  0.000e+00  2.750e-08  0.000e+00
            (100.00%)  (  0.00%)  (100.00%)  (  0.00%)  (  0.07%)  (  0.00%)
            1.633e-02     304-305    

---*------ 3  evlpMultiplier16/mux/mux_14 (evMUX2_1_70) 3154
 3.342e-05  3.342e-05  4.410e-10  3.342e-05  0.000e+00  2.750e-08  0.000e+00
            (100.00%)  (  0.00%)  (100.00%)  (  0.00%)  (  0.08%)  (  0.00%)
            1.633e-02    4308-4309   

---*------ 3  evlpMultiplier16/mux/mux_15 (evMUX2_1_69) 2575
 2.583e-05  2.582e-05  4.410e-10  2.582e-05  0.000e+00  2.750e-08  0.000e+00
            (100.00%)  (  0.00%)  (100.00%)  (  0.00%)  (  0.11%)  (  0.00%)
            1.633e-02    5988-5989   

---*------ 3  evlpMultiplier16/mux/mux_16 (evMUX2_1_68) 1558
 1.359e-05  1.359e-05  4.410e-10  1.359e-05  0.000e+00  0.000e+00  0.000e+00
            (100.00%)  (  0.00%)  (100.00%)  (  0.00%)  (  0.00%)  (  0.00%)
            1.633e-02    5985-5986   

---*------ 3  evlpMultiplier16/mux/mux_0 (evMUX2_1_84) 2970
 1.638e-06  1.638e-06  1.854e-10  1.410e-06  2.283e-07  1.228e-09  1.538e-08
            ( 99.99%)  (  0.01%)  ( 86.06%)  ( 13.94%)  (  0.07%)  (  0.94%)
            8.052e-04    7203-7204   

--*------- 2  evlpMultiplier16/low_res_latch (evInpDemuxLatch_wdt16) 23482
 5.333e-05  5.333e-05  4.731e-09  5.259e-05  7.322e-07  2.770e-08  0.000e+00
            ( 99.99%)  (  0.01%)  ( 98.63%)  (  1.37%)  (  0.05%)  (  0.00%)
            1.634e-02    9104-9105   

---*------ 3  evlpMultiplier16/low_res_latch/latch_7 (evLatch_cell_8) 1483
 3.761e-06  3.761e-06  2.957e-10  3.720e-06  4.150e-08  2.190e-11  0.000e+00
            ( 99.99%)  (  0.01%)  ( 98.90%)  (  1.10%)  (  0.00%)  (  0.00%)
            1.624e-02    7304-7305   

---*------ 3  evlpMultiplier16/low_res_latch/latch_10 (evLatch_cell_5) 1482
 3.711e-06  3.711e-06  2.957e-10  3.665e-06  4.598e-08  2.190e-11  0.000e+00
            ( 99.99%)  (  0.01%)  ( 98.76%)  (  1.24%)  (  0.00%)  (  0.00%)
            1.624e-02    4904-4905   

---*------ 3  evlpMultiplier16/low_res_latch/latch_4 (evLatch_cell_11) 1478
 3.604e-06  3.603e-06  2.957e-10  3.556e-06  4.777e-08  2.190e-11  0.000e+00
            ( 99.99%)  (  0.01%)  ( 98.67%)  (  1.33%)  (  0.00%)  (  0.00%)
            1.624e-02    6704-6705   

---*------ 3  evlpMultiplier16/low_res_latch/latch_13 (evLatch_cell_2) 1472
 3.438e-06  3.437e-06  2.957e-10  3.391e-06  4.585e-08  2.190e-11  0.000e+00
            ( 99.99%)  (  0.01%)  ( 98.67%)  (  1.33%)  (  0.00%)  (  0.00%)
            1.624e-02    5505-5506   

---*------ 3  evlpMultiplier16/low_res_latch/latch_3 (evLatch_cell_12) 1472
 3.433e-06  3.433e-06  2.957e-10  3.391e-06  4.150e-08  2.190e-11  0.000e+00
            ( 99.99%)  (  0.01%)  ( 98.79%)  (  1.21%)  (  0.00%)  (  0.00%)
            1.624e-02    3504-3505   

---*------ 3  evlpMultiplier16/low_res_latch/latch_8 (evLatch_cell_7) 1469
 3.385e-06  3.385e-06  2.957e-10  3.337e-06  4.777e-08  2.190e-11  0.000e+00
            ( 99.99%)  (  0.01%)  ( 98.59%)  (  1.41%)  (  0.00%)  (  0.00%)
            1.624e-02    4505-4506   

---*------ 3  evlpMultiplier16/low_res_latch/latch_2 (evLatch_cell_13) 1469
 3.383e-06  3.383e-06  2.957e-10  3.337e-06  4.598e-08  2.190e-11  0.000e+00
            ( 99.99%)  (  0.01%)  ( 98.64%)  (  1.36%)  (  0.00%)  (  0.00%)
            1.624e-02    3305-3306   

---*------ 3  evlpMultiplier16/low_res_latch/latch_14 (evLatch_cell_1) 1469
