
************************************************
Report:               average power
Design:               evlpMultiplier16
Library File(s):      /home/cad/TSMC/13/synopsys/typical.db
Simulation period[1]: 0 ns - 29681 ns
Sampling interval:    1 ns
Reporting threshold:  0 Watt
Date:                 Tue Aug 14 19:40:20 2007
************************************************

operating_condition_max_name: typical Library: typical

Wire Loading Model Mode: segmented

Cell               Design       Wire_model  Library       Selection_type
--------------------------------------------------------------------------------
                   evlpMultiplier16 TSMC13_Conservative typical library default
 2.127e-05  2.127e-05  2.000e-12  2.006e-05  1.210e-06  2.983e-08  0.000e+00
            (100.00%)  (  0.00%)  ( 94.31%)  (  5.69%)  (  0.14%)  (  0.00%)
            5.713e-04     435-436    

---*------ 3  evlpMultiplier16/mux/mux_6 (evMUX2_1_78) 3962
 2.123e-05  2.123e-05  2.000e-12  2.002e-05  1.208e-06  2.963e-08  0.000e+00
            (100.00%)  (  0.00%)  ( 94.31%)  (  5.69%)  (  0.14%)  (  0.00%)
            5.713e-04     475-476    

---*------ 3  evlpMultiplier16/mux/mux_5 (evMUX2_1_79) 3880
 2.046e-05  2.046e-05  2.000e-12  1.930e-05  1.160e-06  2.995e-08  0.000e+00
            (100.00%)  (  0.00%)  ( 94.33%)  (  5.67%)  (  0.15%)  (  0.00%)
            5.713e-04     304-305    

---*------ 3  evlpMultiplier16/mux/mux_10 (evMUX2_1_74) 3848
 2.045e-05  2.045e-05  2.000e-12  1.929e-05  1.163e-06  6.015e-08  0.000e+00
            (100.00%)  (  0.00%)  ( 94.31%)  (  5.69%)  (  0.29%)  (  0.00%)
            5.713e-04     304-305    

---*------ 3  evlpMultiplier16/mux/mux_9 (evMUX2_1_75) 3847
 2.040e-05  2.040e-05  2.000e-12  1.923e-05  1.162e-06  4.091e-08  0.000e+00
            (100.00%)  (  0.00%)  ( 94.30%)  (  5.70%)  (  0.20%)  (  0.00%)
            5.713e-04     439-440    

---*------ 3  evlpMultiplier16/mux/mux_4 (evMUX2_1_80) 3718
 2.009e-05  2.009e-05  2.000e-12  1.895e-05  1.142e-06  6.699e-10  0.000e+00
            (100.00%)  (  0.00%)  ( 94.32%)  (  5.68%)  (  0.00%)  (  0.00%)
            5.713e-04      56-57     

---*------ 3  evlpMultiplier16/mux/mux_3 (evMUX2_1_81) 3585
 1.935e-05  1.935e-05  2.000e-12  1.826e-05  1.088e-06  9.447e-09  0.000e+00
            (100.00%)  (  0.00%)  ( 94.38%)  (  5.62%)  (  0.05%)  (  0.00%)
            5.713e-04      58-59     

---*------ 3  evlpMultiplier16/mux/mux_11 (evMUX2_1_73) 3611
 1.924e-05  1.924e-05  2.000e-12  1.816e-05  1.082e-06  5.934e-08  0.000e+00
            (100.00%)  (  0.00%)  ( 94.37%)  (  5.63%)  (  0.31%)  (  0.00%)
            5.713e-04     441-442    

---*------ 3  evlpMultiplier16/mux/mux_12 (evMUX2_1_72) 3371
 1.803e-05  1.803e-05  2.000e-12  1.701e-05  1.013e-06  5.037e-08  0.000e+00
            (100.00%)  (  0.00%)  ( 94.38%)  (  5.62%)  (  0.28%)  (  0.00%)
            5.713e-04     304-305    

---*------ 3  evlpMultiplier16/mux/mux_2 (evMUX2_1_82) 3303
 1.786e-05  1.786e-05  2.000e-12  1.686e-05  9.926e-07  9.876e-09  0.000e+00
            (100.00%)  (  0.00%)  ( 94.44%)  (  5.56%)  (  0.06%)  (  0.00%)
            5.713e-04     304-305    

---*------ 3  evlpMultiplier16/mux/mux_13 (evMUX2_1_71) 3122
 1.676e-05  1.676e-05  2.000e-12  1.582e-05  9.361e-07  6.862e-08  0.000e+00
            (100.00%)  (  0.00%)  ( 94.41%)  (  5.59%)  (  0.41%)  (  0.00%)
            5.713e-04     304-305    

---*------ 3  evlpMultiplier16/mux/mux_1 (evMUX2_1_83) 2785
